科目名,年度,時間割コード,テーマ
専門演習Ｂ(0),2016,1C240,主として心理学に関連した領域で実証的研究を行うために必要な知識・技能について習得する機会を提供します。基礎的知識に基づいて実証的研究を行う練習をしましょう。
専門演習Ｂ(0),2016,1C261,この授業のテーマと目標は、歴史や環境問題等を含む広い意味での「北アジア・東アジア研究」とする。
外国語演習（英語）（グローバル専門科目）,2016,1C267,"Theme: Learn about language from more than one perspective.Goal: Write a term paper on language, language learning and culture."
外国語演習（英語）,2016,1C268,＜テーマ＞国際移動（移住・移民など）と定着、それらに付随する諸事象や問題（ディアスポラ、インターマリッジ、多文化共生など含む）の理解＜到達目標＞このテーマに関する用語や事象の理解とともに、英語の読解・聴解・プレゼンテーション能力を高める。
専門演習Ｂ(2),2016,1C340,主として心理学に関連した領域で実証的研究を行うために必要な知識・技能について習得する機会を提供します。基礎的知識に基づいて実証的研究を行う練習をしましょう。
専門演習Ｂ(2),2016,1C361,この授業のテーマと目標は、歴史や環境問題等を含む広い意味での「北アジア・東アジア研究」とする。
近代表象文化論,2016,2C125,「風景」をテーマとして、近代以降の人間の文化と自然（あるいは場所）との関係の特質とその変化について、１８世紀から１９世紀の主にイギリスにおける文学、風景画、庭、美学思想における際立った潮流を概観する。それによって、「近代化」に含まれる人間と自然や土地との関係の変化とその問題性を考察するための歴史的な視野を獲得することを目指す。
専門基礎演習,2016,2C201,"This is an English writing course on genre analysis, in which students will… - Learn about genre theory and do genre analyses of both Japanese and English texts - Complete several genre-based writing assignments in English - Learn about the cultural expectations of English audiences (= readers) - Improve their ability to describe and explain Japanese cultural conventions"
専門演習Ｂ(1),2016,2C249,主に２回生を対象とした、この演習では、世界と日本が直面している様々な政治・経済・社会問題について多面的に議論することを目標とします。社会問題を考える際にも突き詰めると「いいか悪いか」「好きか嫌いか」で論じがちな人が多いですが、この演習ではそうした単純な二元論に陥ることなく、むしろ「どうなっているのか？」、「どうしたらいいのか」という視点から実践的で政策志向型思考のトレーニングを積んでいきたいと思います。講座や思想を問わず、様々な意見を持った皆さんが集まって、議論を交わすゼミにしたいと思います。
専門諸言語（アラビア語）,2016,1C035,アラビア文字を覚えたり、簡単な会話や単語、数字を覚えたりする。入門レベルとする。
Cultures and Societies in Japan Ⅱ（グローバル専門科目）,2016,1C040,Japanese Cultures and Societies from the Edo period to the present day. The aim of this class is for students to be able to understand and explain Japanese culture and history in English
ガヴァナンス論,2016,1C148,グローバル・ガヴァナンス、ローカル・ガヴァナンス、さらにマルチレベル・ガヴァナンス等に示されるように、近年「ガヴァナンス」（governance）という言葉が目立って使用されるようになってきた。ガヴァナンス論台頭の背景には、1980年代以降の新自由主義的潮流の台頭やグローバル化の進展に伴い、政府（government）という形で統治機能を独占してきた国家の役割が、相対化されつつあるという状況がある。本講義では、国内政治と国際政治の交錯をはじめ、主として先進諸国を中心に、経済のグローバル化が各国の戦後政治経済体制に及ぼす影響や変容の諸相、経済発展と政治的民主化の相互関係、さらにヨーロッパ統合という国民国家を超えた政治の実験について、比較政治経済学や国際政治経済学の視点から検討したい。
北アジア社会文化論,2016,1C169,授業テーマは「モンゴル近現代史」とする。目標は、清代以降21世紀に至るまでのモンゴルの詳しい歴史をしっかりと理解してもらうことである。当然のことながら、中国、ロシア、日本等の国との関係も理解してもらう必要がある。
専門演習Ａ,2016,1C226,情報コミュニケーション論講座の２年次生を対象に，実証的に（つまり実際に）なにかを調べる（研究する）場合に必要となる機器の操作の体験を通して「測定する」「操作する」ことの意味を学ぶとともに，「なぜそのような測定や操作が可能なのか」という原理や「なぜそのような測定や操作が必要なのか」という側面についても概略を学びます。
専門演習Ｂ(0),2016,1C248,テーマ：社会的排除と都市空間「見る-見られる」関係が張りめぐらされ排除と包摂のメカニズムが作動する、きわめて「人間臭い」都市空間の解読を通じて、現代社会のありようを捉える。
専門演習Ｂ(2),2016,1C348,テーマ：社会的排除と都市空間「見る-見られる」関係が張りめぐらされ排除と包摂のメカニズムが作動する、きわめて「人間臭い」都市空間の解読を通じて、現代社会のありようを捉える。
Cultures and Societies in Japan Ⅰ（グローバル専門科目）,2016,2C040,Japanese Cultures and Societies from prehistoric times to the Sengoku period. The aim of this class is for students to be able to understand and explain Japanese culture and history in English.
現代社会人類学,2016,2C143,地球上に住むひとびとが営む生業と文化のさまざまな側面を民族誌的な映像資料などを手がかりとして考える。異文化および社会を支える論理を検討し、彼らにとって何が「あたりまえ」か、われわれにとって「あたりまえ」でないことは何か、を検討するのがこの講義の目的である。地球上のくらしの多様性を映像資料などを通して具体的事実として知ることとともに、比較の観点からそれらの地域の構造を理解する。そのことにより受講者は、世界の国ぐにに住むひとびとに対する相対的視点を涵養し、国際あるいは多文化共生の地球時代に生きる知的構えを養うことができる。
